latitude,longitude,branchfreeway
34.02624,-118.20833,
34.02605,-118.20785,
34.02574,-118.20698,
34.02526,-118.20548,
34.02481,-118.20436,
34.02429,-118.20316,
34.02218,-118.19828,
34.02119,-118.19604,
34.02111,-118.19603,
34.02088,-118.1957,
34.02069,-118.1956,
34.02059,-118.19563,
34.02048,-118.19571,
34.02039,-118.19535,
34.02029,-118.19455,
34.02006,-118.19348,
34.01978,-118.19227,
34.02028,-118.19226,
34.02063,-118.19226,
34.02087,-118.19227,
34.02112,-118.1928,
34.02173,-118.19422,
34.02195,-118.19469,
34.0217,-118.19485,
34.02128,-118.19516,
34.02124,-118.19522,
34.02123,-118.19538,
34.02124,-118.1955,
34.02121,-118.19559,
34.0218,-118.19696,
34.02216,-118.19781,
34.02349,-118.20088,
34.02474,-118.20376,
34.02535,-118.20532,
34.02598,-118.20724,
34.02816,-118.21216,
34.02921,-118.21454,
34.02936,-118.21492,
34.02986,-118.21595,
34.0308,-118.21776,
34.03091,-118.21793,
34.03146,-118.21871,
34.03218,-118.21957,
34.03251,-118.21986,
34.0329,-118.22026,
34.03358,-118.22082,
34.03414,-118.22119,
34.03455,-118.22136,10
34.03506,-118.22152,
34.03578,-118.22164,
34.03632,-118.22165,
34.03686,-118.22155,
34.03792,-118.22143,
34.03838,-118.22145,
34.03934,-118.22155,
34.03997,-118.22152,
34.04064,-118.2214,
34.04109,-118.22128,
34.04265,-118.22102,
34.04418,-118.22102,
34.0458,-118.22107,
34.04666,-118.2212,
34.04757,-118.22144,
34.04828,-118.22171,
34.04931,-118.2222,
34.05085,-118.22299,
34.0513,-118.22324,
34.05177,-118.22359,
34.0521,-118.22402,
34.05239,-118.22457,
34.05253,-118.22496,
34.05259,-118.2253,
34.05268,-118.22603,
34.05279,-118.22654,
34.05309,-118.2283,
34.05331,-118.22972,
34.05358,-118.23163,
34.0537,-118.23275,
34.05372,-118.23297,
34.05393,-118.23492,
34.0539,-118.23551,
34.05387,-118.23582,
34.05386,-118.23619,
34.05393,-118.23693,
34.05427,-118.23786,
34.05509,-118.23927,
34.05679,-118.24199,
34.05814,-118.24405,
34.05934,-118.24562,
34.06028,-118.24662,
34.06277,-118.24874,
34.06369,-118.2496,
34.06507,-118.25147,
34.0668,-118.25388,
34.06749,-118.25506,
34.06781,-118.25575,
34.06825,-118.25688,
34.06936,-118.25999,
34.07045,-118.26304,
34.07113,-118.26463,
34.07211,-118.26683,
34.07298,-118.26896,
34.07317,-118.26943,
34.07424,-118.27166,
34.07461,-118.27252,
34.07518,-118.27402,
34.07661,-118.27901,
34.07721,-118.28138,
34.07793,-118.28453,
34.07863,-118.28805,
34.0792,-118.28972,
34.08021,-118.29169,
34.08185,-118.295,
34.08271,-118.29691,
34.08355,-118.29846,
34.08504,-118.30068,
34.08701,-118.30348,
34.08785,-118.30438,
34.08859,-118.30501,
34.09123,-118.30665,
34.09211,-118.30723,
34.09296,-118.30801,
34.09329,-118.30842,
34.0938,-118.30922,
34.09517,-118.31138,
34.09607,-118.31263,
34.09654,-118.31314,
34.09727,-118.31381,
34.09813,-118.31443,
34.10075,-118.31594,
34.10196,-118.31667,
34.10291,-118.31759,
34.10322,-118.31799,
34.10364,-118.31863,
34.10391,-118.31926,
34.10415,-118.32002,
34.10431,-118.32095,
34.1044,-118.32277,
34.10449,-118.32397,
34.10471,-118.32487,
34.10516,-118.32594,
34.10616,-118.3276,
34.10807,-118.33082,
34.10934,-118.33292,
34.1097,-118.33348,
34.11031,-118.33423,
34.11063,-118.33454,
34.11141,-118.33512,
34.11191,-118.33538,
34.1132,-118.33583,
34.11489,-118.3364,
34.11719,-118.33707,
34.11864,-118.33763,
34.11983,-118.3383,
34.12114,-118.3393,
34.12211,-118.34027,
34.12465,-118.34323,
34.12525,-118.3438,
34.12667,-118.34478,
34.12709,-118.34511,
34.12864,-118.34667,
34.13143,-118.34955,
34.13225,-118.35045,
34.13284,-118.35133,
34.13331,-118.35231,
34.13349,-118.35281,
34.1342,-118.35576,
34.1351,-118.35859,
34.13553,-118.3595,
34.1363,-118.36065,
34.13785,-118.36284,
34.13866,-118.36394,
34.13966,-118.36522,
34.1399,-118.36545,
34.1406,-118.36599,
34.14103,-118.36626,
34.14262,-118.36696,
34.14378,-118.36752,
34.14514,-118.36822,
34.14587,-118.36883,
34.14664,-118.36973,
34.1471,-118.3704,
34.14815,-118.3719,
34.14867,-118.37262,
34.14903,-118.37301,
34.14928,-118.37319,
34.1501,-118.3738,
34.15143,-118.37468,
34.15242,-118.37524,
34.153,-118.37559,
34.15363,-118.37616,
34.1541,-118.37689,
34.15428,-118.37715,
34.15445,-118.37768,
