latitude,longitude,
33.96353,-118.37017,index 0
33.96336,-118.3706,
33.96258,-118.37027,
33.96225,-118.37018,
33.96185,-118.37014,
33.96158,-118.37013,
33.96158,-118.37003,
33.96158,-118.36963,
33.96159,-118.36946,
33.96159,-118.36924,
33.9616,-118.3688,
33.96154,-118.36857,
33.96142,-118.36841,
33.96133,-118.36837,
33.96112,-118.36839,
33.96092,-118.36847,
33.96083,-118.36862,
33.96081,-118.36882,
33.9609,-118.36899,
33.96095,-118.36903,
33.96108,-118.36907,
33.96156,-118.36913,
33.96189,-118.36919,
33.96241,-118.36931,
33.9637,-118.36969,
33.96385,-118.36973,
33.96389,-118.36973,
33.96451,-118.36993,
33.96602,-118.37041,
33.96607,-118.37043,
33.96648,-118.37055,
33.96688,-118.37079,
33.96689,-118.3708,
33.96695,-118.37084,
33.9674,-118.37112,
33.96775,-118.37133,
33.96814,-118.37162,
33.96858,-118.37201,
33.96914,-118.37264,
33.9697,-118.37351,
33.97026,-118.37462,
33.97192,-118.37797,
33.97219,-118.37847,
33.97392,-118.38147,
33.97473,-118.38306,
33.97517,-118.38396,
33.97656,-118.38687,
33.97842,-118.39081,
33.97877,-118.39142,
33.97909,-118.39191,
33.9797,-118.39258,
33.97983,-118.39268,
33.98056,-118.39329,
33.98212,-118.39454,
33.9832,-118.39539,
33.98731,-118.39866,
33.98775,-118.39899,
33.98874,-118.39976,
33.9895,-118.40036,
33.99228,-118.40249,
33.99431,-118.40408,
33.99498,-118.40464,
33.99643,-118.40578,
33.9987,-118.40758,
34.00088,-118.4093,
34.00153,-118.40979,
34.00302,-118.41098,
34.00338,-118.41126,
34.00816,-118.41503,
34.01219,-118.41823,
34.01294,-118.41884,
34.01639,-118.4215,
34.01755,-118.42245,
34.0184,-118.42313,
34.02013,-118.42452,
34.02466,-118.42812,
34.02682,-118.4299,
34.02832,-118.43107,
34.02916,-118.43174,
34.0311,-118.4333,
34.0317,-118.43382,
34.03232,-118.43452,
34.03354,-118.43617,
34.03384,-118.43654,
34.03401,-118.43672,
34.03433,-118.43702,
34.03468,-118.43729,
34.03494,-118.43747,
34.03561,-118.43786,
34.03589,-118.43803,
34.03663,-118.43838,
34.03768,-118.43889,
34.03853,-118.43936,
34.03908,-118.43975,
34.04275,-118.44289,
34.04475,-118.4446,
34.04562,-118.44539,
34.047,-118.44658,
34.04851,-118.44784,
34.04901,-118.44815,
34.04919,-118.44831,
34.04934,-118.4484,
34.04981,-118.44863,
34.05012,-118.44876,
34.05103,-118.44905,
34.05227,-118.44946,
34.05286,-118.44973,
34.05332,-118.45,
34.05382,-118.45035,
34.05553,-118.45181,
34.05585,-118.45208,
34.05696,-118.45302,
34.05846,-118.45419,
34.05997,-118.45536,
34.06132,-118.45649,
34.06457,-118.45928,
34.06511,-118.45978,
34.06574,-118.46032,
34.06684,-118.46131,
34.06943,-118.4636,
34.0707,-118.46473,
34.07167,-118.46555,
34.07229,-118.46604,
34.07289,-118.46652,
