105
Imperial Highway west,,33.931432,-118.403974,
SR 1 (Sepulveda Boulevard) / Imperial Highway east LAX Airport,,33.931361,-118.396164,
Nash Street LAX Airport,,33.931165,-118.387473,
"La Cienega Boulevard, Aviation Boulevard",,33.930008,-118.370007,
"I-405 (San Diego Freeway) Santa Monica, Long Beach",,33.930204,-118.368419,
Hawthorne Boulevard,,33.933729,-118.352605,
Prairie Avenue,,33.92999,-118.34385,
Crenshaw Boulevard,,33.925237,-118.32658,
Vermont Avenue,,33.928797,-118.291733,
"I-110 (Harbor Freeway) Los Angeles, San Pedro",,33.928797,-118.28066,
Central Avenue,,33.928388,-118.254329,
Wilmington Avenue,,33.928388,-118.209976,
Long Beach Boulevard,,33.924934,-118.209976,
"I-710 (Long Beach Freeway) Pasadena, Long Beach",,33.912897,-118.180042,
Garfield Avenue,,33.911152,-118.168927,
Paramount Boulevard,,33.911971,-118.159936,
SR 19 (Lakewood Boulevard),,33.91328,-118.140428,
Bellflower Boulevard,,33.913378,-118.12542,
I-605 (San Gabriel River Freeway),,33.914161,-118.104692,
Hoxie Avenue Norwalk Metro Station,,33.914326,-118.10342,
Studebaker Road,,33.914271,-118.099153,
10
SR 1 north (Pacific Coast Highway) Oxnard,,34.011422,-118.49547,
"4th Street, 5th Street",,34.012774,-118.48933,
SR 1 south (Lincoln Boulevard) to SR 2 east,,34.014819,-118.485857,
20th Street,,34.023338,-118.473798,
Cloverfield Boulevard,,34.024636,-118.469356,
Centinela Avenue,,34.027766,-118.455172,
Bundy Drive,,34.028282,-118.44925,
"I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach",,34.031376,-118.433586,
"National Boulevard, Overland Avenue",,34.031767,-118.417021,
National Boulevard,,34.029669,-118.40318,
Robertson Boulevard Culver City,,34.030665,-118.391379,
"La Cienega Boulevard, Venice Boulevard (SR 187 west)",,34.036942,-118.377431,
"Fairfax Avenue, Washington Boulevard",,34.035359,-118.369535,
La Brea Avenue,,34.034328,-118.350137,
Crenshaw Boulevard,,34.035182,-118.333786,
Arlington Avenue,,34.036764,-118.317715,
"Western Avenue, Normandie Avenue",,34.036978,-118.30053,
"Hoover Street, Vermont Avenue",,34.036978,-118.291601,
Hoover Street,,34.037155,-118.283965,
"I-110 south (Harbor Freeway) / SR 110 north (Harbor Freeway) / Pico Boulevard San Pedro, Pasadena, Downtown Los Angeles",,34.038258,-118.273966,
Grand Avenue,,34.034559,-118.267117,
Los Angeles Street Convention Center,,34.031999,-118.262397,
Maple Avenue,,34.031252,-118.259972,
San Pedro Street,,34.029651,-118.256174,
Central Avenue,,34.02597,-118.249222,
Alameda Street,,34.024619,-118.239287,
"Mateo Street, Santa Fe Avenue",,34.02798,-118.231111,
"I-5 south (Santa Ana Freeway) / SR 60 east (Pomona Freeway) Santa Ana, Pomona",,34.029669,-118.224653,
Boyle Avenue,,34.033937,-118.220799,
Fourth Street,,34.043032,-118.217259,
Cesar Chavez Avenue,,34.049682,-118.214233,
I-5 north (Golden State Freeway) Sacramento,,34.052002,-118.214053,
"US 101 north (Santa Ana Freeway via San Bernardino Freeway) Los Angeles, Hollywood",,34.056339,-118.213751,
State Street,,34.055477,-118.211658,
Soto Street,,34.055362,-118.200599,
City Terrace Drive,,34.055388,-118.186156,
Eastern Avenue,,34.060579,-118.173507,
101
I-5 south (Santa Ana Freeway) Santa Ana,,34.02629,-118.208363,
Euclid Avenue,,34.027126,-118.209715,
SR 60 east (Pomona Freeway) / Soto Street Pomona,,34.029082,-118.214382,
Seventh Street,,34.034068,-118.221254,
Fourth Street,,34.042899,-118.22113,
First Street,,34.047361,-118.22142,
Cesar Chavez Avenue,,34.051717,-118.224006,
I-10 east (San Bernardino Freeway) San Bernardino,,34.052482,-118.225594,
Mission Road,,34.052659,-118.226711,
