Freeway,Ramp Name,Latitude,Longitude,,,,,,,,,,
105,Imperial Highway west,33.931432,-118.403974,,,,,,,,,,
105,SR 1 (Sepulveda Boulevard) / Imperial Highway east LAX Airport,33.931361,-118.396164,,,,,,,,,,
105,Nash Street LAX Airport,33.931165,-118.387473,,,,,,,,,,
105,"La Cienega Boulevard, Aviation Boulevard",33.930008,-118.370007,,,,,,,,,,
105,"I-405 (San Diego Freeway) Santa Monica, Long Beach",33.930204,-118.368419,,,,,,,,,,
105,Hawthorne Boulevard,33.933729,-118.352605,,,,,,,,,,
105,Prairie Avenue,33.92999,-118.34385,,,,,,,,,,
105,Crenshaw Boulevard,33.925237,-118.32658,,,,,,,,,,
105,Vermont Avenue,33.928797,-118.291733,,,,,,,,,,
105,"I-110 (Harbor Freeway) Los Angeles, San Pedro",33.928797,-118.28066,,,,,,,,,,
105,Central Avenue,33.928388,-118.254329,,,,,,,,,,
105,Wilmington Avenue,33.928388,-118.209976,,,,,,,,,,
105,Long Beach Boulevard,33.924934,-118.209976,,,,,,,,,,
105,"I-710 (Long Beach Freeway) Pasadena, Long Beach",33.912897,-118.180042,,,,,,,,,,
105,Garfield Avenue,33.911152,-118.168927,,,,,,,,,,
105,Paramount Boulevard,33.911971,-118.159936,,,,,,,,,,
105,SR 19 (Lakewood Boulevard),33.91328,-118.140428,,,,,,,,,,
105,Bellflower Boulevard,33.913378,-118.12542,,,,,,,,,,
105,I-605 (San Gabriel River Freeway),33.914161,-118.104692,,,,,,,,,,
105,Hoxie Avenue Norwalk Metro Station,33.914326,-118.10342,,,,,,,,,,
105,Studebaker Road,33.914271,-118.099153,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10,SR 1 north (Pacific Coast Highway) Oxnard,34.011422,-118.49547,,,,,,,,,,
10,"4th Street, 5th Street",34.012774,-118.48933,,,,,,,,,,
10,SR 1 south (Lincoln Boulevard) to SR 2 east,34.014819,-118.485857,,,,,,,,,,
10,20th Street,34.023338,-118.473798,,,,,,,,,,
10,Cloverfield Boulevard,34.024636,-118.469356,,,,,,,,,,
10,Centinela Avenue,34.027766,-118.455172,,,,,,,,,,
10,Bundy Drive,34.028282,-118.44925,,,,,,,,,,
10,"I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach",34.031376,-118.433586,,,,,,,,,,
10,"National Boulevard, Overland Avenue",34.031767,-118.417021,,,,,,,,,,
10,National Boulevard,34.029669,-118.40318,,,,,,,,,,
10,Robertson Boulevard Culver City,34.030665,-118.391379,,,,,,,,,,
10,"La Cienega Boulevard, Venice Boulevard (SR 187 west)",34.036942,-118.377431,,,,,,,,,,
10,"Fairfax Avenue, Washington Boulevard",34.035359,-118.369535,,,,,,,,,,
10,La Brea Avenue,34.034328,-118.350137,,,,,,,,,,
10,Crenshaw Boulevard,34.035182,-118.333786,,,,,,,,,,
10,Arlington Avenue,34.036764,-118.317715,,,,,,,,,,
10,"Western Avenue, Normandie Avenue",34.036978,-118.30053,,,,,,,,,,
10,"Hoover Street, Vermont Avenue",34.036978,-118.291601,,,,,,,,,,
10,Hoover Street,34.037155,-118.283965,,,,,,,,,,
