latitude,longitude,branchfreeway
33.93122,-118.40398,0
33.93131,-118.40399,0
33.93131,-118.40338,0
33.9313,-118.40307,0
33.93127,-118.40257,0
33.93126,-118.40106,0
33.93128,-118.39973,0
33.93127,-118.39916,0
33.93122,-118.39769,0
33.93119,-118.39629,0
33.9312,-118.39528,0
33.93126,-118.39236,0
33.9312,-118.39085,0
33.93108,-118.38866,0
33.93102,-118.38764,0
33.93097,-118.38678,0
33.93096,-118.38561,0
33.93097,-118.38532,0
33.93104,-118.3827,0
33.93102,-118.38147,0
33.93098,-118.38089,0
33.93085,-118.38009,0
33.93064,-118.37922,0
33.93,-118.3766,0
33.92988,-118.37591,0
33.92981,-118.37519,0
33.92978,-118.37464,0
33.92977,-118.37413,0
33.92979,-118.37099,0
33.9298,-118.37002,0
33.9298,-118.36948,0
33.9298,-118.36925,0
33.92983,-118.36867,0
33.92984,-118.36856,0
33.92986,-118.36844,0
33.93,-118.36747,0
33.93015,-118.36672,0
33.93033,-118.36608,0
33.93073,-118.36479,0
33.93086,-118.36435,0
33.93139,-118.36253,0
33.93196,-118.36073,0
33.93248,-118.35895,0
33.93305,-118.35704,0
33.93325,-118.3561,0
33.93338,-118.35524,0
33.93345,-118.35453,0
33.93346,-118.35372,0
33.93342,-118.35272,0
33.93337,-118.35248,0
33.93305,-118.3508,0
33.93278,-118.34981,0
33.93232,-118.34848,0
33.93185,-118.34738,0
33.93119,-118.34607,0
33.93052,-118.34498,0
33.92978,-118.34388,0
33.92668,-118.3396,0
33.92609,-118.33866,0
33.92574,-118.33799,0
33.92531,-118.33692,0
33.92515,-118.33642,0
33.92494,-118.33564,0
33.92481,-118.33484,0
33.9247,-118.33369,0
33.92467,-118.33274,0
33.92475,-118.33118,0
33.92501,-118.32642,0
33.92509,-118.32526,0
33.92528,-118.32208,0
33.92529,-118.32009,0
33.92526,-118.31656,0
33.92523,-118.31374,0
33.92525,-118.31252,0
33.92528,-118.31147,0
33.92537,-118.30998,0
33.9255,-118.30873,0
33.92577,-118.30709,0
33.92597,-118.30616,0
33.92719,-118.30069,0
33.92728,-118.3003,0
33.92791,-118.29745,0
33.92819,-118.29606,0
33.9284,-118.29444,0
33.92847,-118.29344,0
33.92849,-118.2921,0
33.92849,-118.29183,0
33.92848,-118.29167,0
33.92848,-118.2913,0
33.9285,-118.28943,0
33.92847,-118.28743,0
33.92846,-118.28696,0
33.92848,-118.28273,0
33.92848,-118.28147,0
33.92848,-118.2814,0
33.92848,-118.28109,0
33.92849,-118.28026,0
33.92849,-118.28009,0
33.92846,-118.27831,0
33.92839,-118.27723,0
33.92829,-118.27632,0
33.9282,-118.27561,0
33.92803,-118.2747,0
33.92784,-118.27363,0
33.92754,-118.27232,0
33.92734,-118.2707,0
33.9273,-118.26969,0
33.92729,-118.26528,0
33.92729,-118.26032,0
33.92731,-118.2594,0
33.92735,-118.25875,0
33.92744,-118.2578,0
33.92752,-118.25723,0
33.92769,-118.25618,0
33.92783,-118.25517,0
33.92809,-118.25303,0
33.92825,-118.25188,0
33.92838,-118.25082,0
33.92849,-118.24977,0
33.92852,-118.24933,0
33.92858,-118.24841,0
33.92859,-118.24713,0
33.92854,-118.24605,0
33.92822,-118.24052,0
33.92814,-118.23914,0
33.92808,-118.23835,0
33.92801,-118.23734,0
33.92786,-118.23469,0
33.92784,-118.23325,0
33.92785,-118.23275,0
33.92796,-118.23171,0
33.92811,-118.2308,0
33.92822,-118.23031,0
33.92827,-118.23011,0
33.92828,-118.2301,0
33.92873,-118.22833,0
33.9292,-118.22645,0
33.92934,-118.22578,0
33.92937,-118.22558,0
33.92946,-118.22468,0
33.92949,-118.22404,0
33.9295,-118.22349,0
33.92949,-118.22303,0
33.92944,-118.2222,0
33.92934,-118.22154,0
33.92926,-118.22105,0
33.9291,-118.22034,0
33.92896,-118.21979,0
33.92877,-118.21921,0
33.92846,-118.21842,0
33.92761,-118.21649,0
33.92655,-118.21412,0
33.92624,-118.21348,0
33.92492,-118.21043,0
33.92471,-118.20997,0
33.92312,-118.20637,0
33.92239,-118.20469,0
33.92191,-118.20358,0
33.92163,-118.20299,0
33.9213,-118.20222,0
33.91965,-118.19845,0
33.91801,-118.19474,0
33.9174,-118.19338,0
33.91697,-118.19244,0
33.91622,-118.19055,0
33.91588,-118.18957,0
33.91565,-118.18894,0
33.91469,-118.186,0
33.91415,-118.18443,0
33.91357,-118.18286,0
33.91279,-118.1805,0
33.91261,-118.18,0
33.91244,-118.1795,0
33.9123,-118.1791,0
33.91193,-118.17792,0
33.91176,-118.1774,0
33.91141,-118.17628,0
33.91122,-118.17548,0
33.91107,-118.1745,0
33.91098,-118.17366,0
33.91092,-118.17228,0
33.91089,-118.17106,0
33.91087,-118.17072,0
33.9109,-118.16935,0
33.91092,-118.1689,0
33.91093,-118.16865,0
33.91123,-118.16524,0
33.91134,-118.16388,0
33.9117,-118.16022,0
33.91192,-118.15806,0
33.91232,-118.15374,0
33.91263,-118.15008,0
33.9127,-118.14902,0
33.91277,-118.14818,0
33.91283,-118.14693,0
33.91289,-118.14497,0
33.91291,-118.14112,0
33.91294,-118.13431,0
33.91297,-118.12715,0
33.91303,-118.12545,0
33.91314,-118.12328,0
33.91338,-118.12005,0
33.91359,-118.11695,0
33.91368,-118.11428,0
33.91368,-118.11376,0
33.91374,-118.11353,0
33.91375,-118.11347,0
33.91377,-118.11229,0
33.91378,-118.11055,0
33.91378,-118.10855,0
33.91378,-118.10634,0
33.91382,-118.10561,0
33.91411,-118.10312,0
33.91426,-118.10165,0
33.91425,-118.10015,0
33.91424,-118.09917,0
