Name;Index;Branch
Imperial Highway west;0;NULL
 SR 1 (Sepulveda Boulevard) / Imperial Highway east LAX Airport;9;NULL
Nash Street LAX Airport;14;NULL
La Cienega Boulevard, Aviation Boulevard;27;NULL
I-405 (San Diego Freeway) Santa Monica, Long Beach;32;NULL
Hawthorne Boulevard;49;NULL
Prairie Avenue;55;NULL
Crenshaw Boulevard;67;NULL
Vermont Avenue;83;NULL
I-110 (Harbor Freeway) Los Angeles, San Pedro;91;NULL
Central Avenue;114;NULL
Wilmington Avenue;124;NULL
Long Beach Boulevard;154;NULL
I-710 (Long Beach Freeway) Pasadena, Long Beach;166;NULL
Garfield Avenue;176;NULL
Paramount Boulevard;190;NULL
SR 19 (Lakewood Boulevard);196;NULL
Bellflower Boulevard;199;NULL
I-605 (San Gabriel River Freeway);205;NULL
Hoxie Avenue Norwalk Metro Station;211;NULL
Studebaker Road;215;NULL
