Name;Index;Branch
I-5 south (Santa Ana Freeway) Santa Ana;0;NULL
Euclid Avenue;35;NULL
SR 60 east (Pomona Freeway) / Soto Street Pomona;39;"I-5 south (Santa Ana Freeway) / SR 60 east (Pomona Freeway) Santa Ana, Pomona"
Seventh Street;46;Boyle Avenue
Fourth Street;58;NULL
First Street;62;NULL
Cesar Chavez Avenue;67;NULL
I-10 east (San Bernardino Freeway) San Bernardino;72;"US 101 north (Santa Ana Freeway via San Bernardino Freeway) Los Angeles, Hollywood"
Mission Road;73;NULL
Vignes Street;78;NULL
Alameda Street Union Station;84;NULL
Los Angeles Street;85;NULL
Spring Street;86;NULL
Broadway;87;NULL
"Grand Avenue, Temple Street";89;NULL
"SR 110 north (Pasadena Freeway) / I-110 south (Harbor Freeway) Pasadena, San Pedro";90;NULL
"Glendale Boulevard, Echo Park Avenue, Union Avenue, Belmont Avenue";98;NULL
SR 2 east (Alvarado Street);100;NULL
"Rampart Boulevard, Benton Way";105;NULL
Silver Lake Boulevard;107;NULL
Vermont Avenue;111;NULL
"Melrose Avenue, Normandie Avenue";115;NULL
SR 2 west (Santa Monica Boulevard) / Western Avenue;118;NULL
Sunset Boulevard;128;NULL
Hollywood Boulevard;129;NULL
Gower Street;137;NULL
Vine Street;140;NULL
Cahuenga Boulevard Hollywood Bowl;142;NULL
Highland Avenue (SR 170 south) Hollywood Bowl;146;NULL
Barham Boulevard Burbank;160;NULL
Universal Studios Boulevard;164;NULL
Lankershim Boulevard Universal City;169;NULL
Ventura Boulevard;173;NULL
Vineland Avenue;181;NULL
SR 134 east (Ventura Freeway) Pasadena;192;NULL
SR 170 north (Hollywood Freeway) Sacramento;193;NULL
Tujunga Avenue;195;NULL
Laurel Canyon Boulevard Studio City;197;NULL
Coldwater Canyon Avenue;207;NULL
Woodman Avenue;215;NULL
Van Nuys Boulevard;226;NULL
Sepulveda Boulevard;235;NULL
"I-405 (San Diego Freeway) Santa Monica, Sacramento";243;"US 101 (Ventura Freeway)   Ventura, Los Angeles"
Haskell Avenue;252;NULL
Hayvenhurst Avenue;257;NULL
Balboa Boulevard Encino;265;NULL
White Oak Avenue;272;NULL
Reseda Boulevard;279;NULL
Tampa Avenue;286;NULL
Winnetka Avenue Woodland Hills;292;NULL
"De Soto Avenue, Serrania Avenue";300;NULL
Canoga Avenue;302;NULL
SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard;304;NULL
Shoup Avenue;311;NULL
Fallbrook Avenue;318;NULL
Woodlake Avenue;322;NULL
"Mulholland Drive, Valley Circle Boulevard";327;NULL
