id	speed	direction	ramp	freeway	datetime
0	51.159904	North	I-405 (San Diego Freeway) Santa Monica, Sacramento	101	2014-04-25 16:42:32.0
1	56.138664	East	National Boulevard, Overland Avenue	10	2014-04-25 16:42:32.0
2	51.00668	West	Centinela Avenue	10	2014-04-25 16:42:32.0
3	26.901424	East	4th Street, 5th Street	10	2014-04-25 16:42:32.0
4	42.93571	South	National Boulevard	405	2014-04-25 16:42:32.0
5	58.7419	West	Crenshaw Boulevard	10	2014-04-25 16:42:32.0
6	34.93277	South	National Boulevard	405	2014-04-25 16:42:32.0
7	71.12891	North	Shoup Avenue	101	2014-04-25 16:42:32.0
8	58.157097	South	Sepulveda Boulevard	101	2014-04-25 16:42:32.0
9	66.52681	North	Coldwater Canyon Avenue	101	2014-04-25 16:42:32.0
10	56.93369	South	Fourth Street	101	2014-04-25 16:42:32.0
11	62.85893	South	I-5 south (Santa Ana Freeway) Santa Ana	101	2014-04-25 16:42:32.0
12	70.41102	West	Central Avenue	105	2014-04-25 16:42:32.0
13	70.285126	East	Western Avenue, Normandie Avenue	10	2014-04-25 16:42:32.0
14	45.598557	North	Venice Boulevard (SR 187), Washington Boulevard	405	2014-04-25 16:42:32.0
15	52.70492	North	Balboa Boulevard Encino	101	2014-04-25 16:42:32.0
16	68.31029	North	SR 60 east (Pomona Freeway) / Soto Street Pomona	101	2014-04-25 16:42:32.0
17	75.0	East	Vermont Avenue	105	2014-04-25 16:42:32.0
18	54.775967	West	SR 19 (Lakewood Boulevard)	105	2014-04-25 16:42:32.0
19	68.151054	North	Hayvenhurst Avenue	101	2014-04-25 16:42:32.0
20	75.0	South	Van Nuys Boulevard	101	2014-04-25 16:42:32.0
21	60.334076	North	Silver Lake Boulevard	101	2014-04-25 16:42:32.0
22	75.0	South	Broadway	101	2014-04-25 16:42:32.0
23	61.771336	West	Wilmington Avenue	105	2014-04-25 16:42:32.0
24	24.9749	West	Bellflower Boulevard	105	2014-04-25 16:42:32.0
25	68.9225	East	Cesar Chavez Avenue	10	2014-04-25 16:42:32.0
26	67.21482	South	SR 2 east (Alvarado Street)	101	2014-04-25 16:42:32.0
27	47.37961	North	Balboa Boulevard Encino	101	2014-04-25 16:42:32.0
28	60.80942	West	I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach	10	2014-04-25 16:42:32.0
29	27.114166	South	SR 170 north (Hollywood Freeway) Sacramento	101	2014-04-25 16:42:32.0
30	71.787704	East	Garfield Avenue	105	2014-04-25 16:42:32.0
31	43.85182	North	De Soto Avenue, Serrania Avenue	101	2014-04-25 16:42:32.0
32	55.20848	North	SR 110 north (Pasadena Freeway) / I-110 south (Harbor Freeway) Pasadena, San Pedro	101	2014-04-25 16:42:32.0
33	20.0	North	Mission Road	101	2014-04-25 16:42:32.0
34	58.587475	East	SR 19 (Lakewood Boulevard)	105	2014-04-25 16:42:32.0
35	75.0	West	Soto Street	10	2014-04-25 16:42:32.0
36	20.0	South	Winnetka Avenue Woodland Hills	101	2014-04-25 16:42:32.0
37	20.0	East	San Pedro Street	10	2014-04-25 16:42:32.0
38	42.65773	South	Ventura Boulevard	101	2014-04-25 16:42:32.0
39	37.76569	West	Hoxie Avenue Norwalk Metro Station	105	2014-04-25 16:42:32.0
40	67.073006	North	I-5 south (Santa Ana Freeway) Santa Ana	101	2014-04-25 16:42:32.0
41	30.998472	South	White Oak Avenue	101	2014-04-25 16:42:32.0
42	72.2806	North	Grand Avenue, Temple Street	101	2014-04-25 16:42:32.0
43	30.286993	North	Vine Street	101	2014-04-25 16:42:32.0
44	49.19943	West	SR 1 north (Pacific Coast Highway) Oxnard	10	2014-04-25 16:42:32.0
45	24.93388	South	Los Angeles Street	101	2014-04-25 16:42:32.0
46	53.69832	West	SR 19 (Lakewood Boulevard)	105	2014-04-25 16:42:32.0
47	46.284138	North	I-10 east (San Bernardino Freeway) San Bernardino	101	2014-04-25 16:42:32.0
48	24.242249	North	SR 2 west (Santa Monica Boulevard) / Western Avenue	101	2014-04-25 16:42:32.0
49	67.107925	West	I-710 (Long Beach Freeway) Pasadena, Long Beach	105	2014-04-25 16:42:32.0
50	75.0	East	Cloverfield Boulevard	10	2014-04-25 16:42:32.0
51	54.342396	South	Alameda Street Union Station	101	2014-04-25 16:42:32.0
52	50.007786	South	Burbank Boulevard	405	2014-04-25 16:42:32.0
53	46.18649	South	I-10 east (San Bernardino Freeway) San Bernardino	101	2014-04-25 16:42:32.0
54	36.0549	East	Centinela Avenue	10	2014-04-25 16:42:32.0
55	75.0	West	I-710 (Long Beach Freeway) Pasadena, Long Beach	105	2014-04-25 16:42:32.0
56	49.059177	South	SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard	101	2014-04-25 16:42:32.0
57	69.002495	North	Nordhoff Street	405	2014-04-25 16:42:32.0
58	41.291008	South	Sunset Boulevard	405	2014-04-25 16:42:32.0
59	29.453644	West	4th Street, 5th Street	10	2014-04-25 16:42:32.0
60	20.0	North	Los Angeles Street	101	2014-04-25 16:42:32.0
61	36.184467	North	Barham Boulevard Burbank	101	2014-04-25 16:42:32.0
62	34.447605	North	SR 27 (Topanga Canyon Boulevard) / Ventura Boulevard	101	2014-04-25 16:42:32.0
63	75.0	South	San Fernando Mission Boulevard   San Fernando	405	2014-04-25 16:42:32.0
64	73.28591	East	Nash Street LAX Airport	105	2014-04-25 16:42:32.0
65	34.053436	West	Eastern Avenue	10	2014-04-25 16:42:32.0
66	66.57249	North	Vineland Avenue	101	2014-04-25 16:42:32.0
67	69.59927	West	Mateo Street, Santa Fe Avenue	10	2014-04-25 16:42:32.0
68	20.0	West	San Pedro Street	10	2014-04-25 16:42:32.0
69	24.836945	South	Mission Road	101	2014-04-25 16:42:32.0
