Name;Index;Branch
SR 1 north (Pacific Coast Highway) Oxnard;336;NULL
4th Street, 5th Street;314;NULL
SR 1 south (Lincoln Boulevard) to SR 2 east;313;NULL
20th Street;305;NULL
Cloverfield Boulevard;295;NULL
Centinela Avenue;287;NULL
Bundy Drive;279;NULL
I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach;269;I-10 (Santa Monica Freeway)   Santa Monica, Los Angeles
National Boulevard, Overland Avenue;258;NULL
National Boulevard;247;NULL
Robertson Boulevard Culver City;236;NULL
La Cienega Boulevard, Venice Boulevard (SR 187 west);224;NULL
Fairfax Avenue, Washington Boulevard;217;NULL
La Brea Avenue;206;NULL
Crenshaw Boulevard;200;NULL
Arlington Avenue;192;NULL
Western Avenue, Normandie Avenue;180;NULL
Hoover Street, Vermont Avenue;178;NULL
Hoover Street;176;NULL
I-110 south (Harbor Freeway) / SR 110 north (Harbor Freeway) / Pico Boulevard San Pedro, Pasadena, Downtown Los Angeles;164;NULL
Grand Avenue;152;NULL
Los Angeles Street Convention Center;144;NULL
Maple Avenue;138;NULL
San Pedro Street;135;NULL
Central Avenue;133;NULL
Alameda Street;118;NULL
Mateo Street, Santa Fe Avenue;109;NULL
I-5 south (Santa Ana Freeway) / SR 60 east (Pomona Freeway) Santa Ana, Pomona;106;SR 60 east (Pomona Freeway) / Soto Street Pomona
Boyle Avenue;90;Seventh Street
Fourth Street;75;NULL
Cesar Chavez Avenue;69;NULL
I-5 north (Golden State Freeway) Sacramento;63;NULL
US 101 north (Santa Ana Freeway via San Bernardino Freeway) Los Angeles, Hollywood;39;I-10 east (San Bernardino Freeway) San Bernardino
State Street;36;NULL
Soto Street;17;NULL
City Terrace Drive;10;NULL
Eastern Avenue;1;NULL
