latitude,longitude,branchfreeway
33.96353,-118.37017,0
33.96336,-118.3706,0
33.96258,-118.37027,0
33.96225,-118.37018,0
33.96185,-118.37014,0
33.96158,-118.37013,0
33.96158,-118.37003,0
33.96158,-118.36963,0
33.96159,-118.36946,0
33.96159,-118.36924,0
33.9616,-118.3688,0
33.96154,-118.36857,0
33.96142,-118.36841,0
33.96133,-118.36837,0
33.96112,-118.36839,0
33.96092,-118.36847,0
33.96083,-118.36862,0
33.96081,-118.36882,0
33.9609,-118.36899,0
33.96095,-118.36903,0
33.96108,-118.36907,0
33.96156,-118.36913,0
33.96189,-118.36919,0
33.96241,-118.36931,0
33.9637,-118.36969,0
33.96385,-118.36973,0
33.96389,-118.36973,0
33.96451,-118.36993,0
33.96602,-118.37041,0
33.96607,-118.37043,0
33.96648,-118.37055,0
33.96688,-118.37079,0
33.96689,-118.3708,0
33.96695,-118.37084,0
33.9674,-118.37112,0
33.96775,-118.37133,0
33.96814,-118.37162,0
33.96858,-118.37201,0
33.96914,-118.37264,0
33.9697,-118.37351,0
33.97026,-118.37462,0
33.97192,-118.37797,0
33.97219,-118.37847,0
33.97392,-118.38147,0
33.97473,-118.38306,0
33.97517,-118.38396,0
33.97656,-118.38687,0
33.97842,-118.39081,0
33.97877,-118.39142,0
33.97909,-118.39191,0
33.9797,-118.39258,0
33.97983,-118.39268,0
33.98056,-118.39329,0
33.98212,-118.39454,0
33.9832,-118.39539,0
33.98731,-118.39866,0
33.98775,-118.39899,0
33.98874,-118.39976,0
33.9895,-118.40036,0
33.99228,-118.40249,0
33.99431,-118.40408,0
33.99498,-118.40464,0
33.99643,-118.40578,0
33.9987,-118.40758,0
34.00088,-118.4093,0
34.00153,-118.40979,0
34.00302,-118.41098,0
34.00338,-118.41126,0
34.00816,-118.41503,0
34.01219,-118.41823,0
34.01294,-118.41884,0
34.01639,-118.4215,0
34.01755,-118.42245,0
34.0184,-118.42313,0
34.02013,-118.42452,0
34.02466,-118.42812,0
34.02682,-118.4299,0
34.02832,-118.43107,0
34.02916,-118.43174,0
34.0311,-118.4333,10
34.0317,-118.43382,0
34.03232,-118.43452,0
34.03354,-118.43617,0
34.03384,-118.43654,0
34.03401,-118.43672,0
34.03433,-118.43702,0
34.03468,-118.43729,0
34.03494,-118.43747,0
34.03561,-118.43786,0
34.03589,-118.43803,0
34.03663,-118.43838,0
34.03768,-118.43889,0
34.03853,-118.43936,0
34.03908,-118.43975,0
34.04275,-118.44289,0
34.04475,-118.4446,0
34.04562,-118.44539,0
34.047,-118.44658,0
34.04851,-118.44784,0
34.04901,-118.44815,0
34.04919,-118.44831,0
34.04934,-118.4484,0
34.04981,-118.44863,0
34.05012,-118.44876,0
34.05103,-118.44905,0
34.05227,-118.44946,0
34.05286,-118.44973,0
34.05332,-118.45,0
34.05382,-118.45035,0
34.05553,-118.45181,0
34.05585,-118.45208,0
34.05696,-118.45302,0
34.05846,-118.45419,0
34.05997,-118.45536,0
34.06132,-118.45649,0
34.06457,-118.45928,0
34.06511,-118.45978,0
34.06574,-118.46032,0
34.06684,-118.46131,0
34.06943,-118.4636,0
34.0707,-118.46473,0
34.07167,-118.46555,0
34.07229,-118.46604,0
34.07289,-118.46652,0
34.0751,-118.46824,0
34.07547,-118.46853,0
34.07618,-118.46905,0
34.07734,-118.46997,0
34.07813,-118.47064,0
34.0793,-118.47179,0
34.08018,-118.4726,0
34.08067,-118.473,0
34.08124,-118.4734,0
34.08184,-118.47374,0
34.08246,-118.47404,0
34.08309,-118.47428,0
34.08373,-118.47447,0
34.08438,-118.4746,0
34.08712,-118.47499,0
34.09228,-118.47574,0
34.0938,-118.47593,0
34.09396,-118.47594,0
34.09463,-118.47603,0
34.0951,-118.47615,0
34.09543,-118.47626,0
34.09584,-118.47644,0
34.09675,-118.47698,0
34.09713,-118.47725,0
34.09774,-118.47756,0
34.09824,-118.47777,0
34.09913,-118.47794,0
34.09959,-118.47795,0
34.1001,-118.4779,0
34.10091,-118.47769,0
34.10197,-118.47737,0
34.10257,-118.47725,0
34.10295,-118.47721,0
34.10338,-118.47722,0
34.10385,-118.47726,0
34.10415,-118.47734,0
34.10452,-118.47745,0
34.105,-118.47765,0
34.10557,-118.47798,0
34.10998,-118.48123,0
34.11056,-118.48158,0
34.111,-118.48178,0
34.11136,-118.4819,0
34.112,-118.48202,0
34.11231,-118.48205,0
34.11282,-118.48203,0
34.11391,-118.48196,0
34.11656,-118.48177,0
34.11781,-118.48166,0
34.11834,-118.48154,0
34.11865,-118.48142,0
34.11901,-118.48125,0
34.11936,-118.48106,0
34.11969,-118.48082,0
34.12016,-118.48044,0
34.12067,-118.48003,0
34.1224,-118.47855,0
34.12406,-118.47725,0
34.12611,-118.47563,0
34.12637,-118.47539,0
34.12639,-118.47537,0
34.12712,-118.47479,0
34.12765,-118.47446,0
34.12855,-118.47401,0
34.12912,-118.4738,0
34.13102,-118.4732,0
34.13305,-118.47255,0
34.13494,-118.47192,0
34.13731,-118.47122,0
34.13787,-118.47111,0
34.13844,-118.47104,0
34.13901,-118.47102,0
34.13936,-118.47103,0
34.1412,-118.47127,0
34.14195,-118.47132,0
34.14269,-118.47132,0
34.14343,-118.47124,0
34.14404,-118.47114,0
34.14439,-118.47106,0
34.14511,-118.47086,0
34.14572,-118.47063,0
34.14621,-118.47041,0
34.14835,-118.4693,0
34.14921,-118.46883,0
34.14971,-118.46858,0
34.15014,-118.46842,0
34.15071,-118.46821,0
34.15092,-118.46816,0
34.15147,-118.46804,0
34.15227,-118.46794,0
34.1527,-118.4679,0
34.15326,-118.4679,0
34.15369,-118.46793,0
34.15429,-118.46801,0
34.15521,-118.46825,0
34.15752,-118.46907,0
34.15836,-118.46928,0
34.15893,-118.46935,0
34.15977,-118.4694,0
34.16092,-118.46942,101
34.16304,-118.46943,0
34.16482,-118.46948,0
34.1655,-118.46949,0
34.16606,-118.46942,0
34.16652,-118.46931,0
34.1668,-118.46922,0
34.16733,-118.46899,0
34.1689,-118.46807,0
34.16973,-118.46774,0
34.17022,-118.4676,0
34.1708,-118.46752,0
34.17126,-118.46751,0
34.17212,-118.46752,0
34.17463,-118.46759,0
34.17535,-118.46768,0
34.17593,-118.46782,0
34.17688,-118.46814,0
34.17757,-118.46845,0
34.17816,-118.46878,0
34.17846,-118.46896,0
34.17926,-118.46954,0
34.18404,-118.47306,0
34.18447,-118.47331,0
34.1849,-118.47353,0
34.18531,-118.4737,0
34.18555,-118.47378,0
34.18582,-118.47387,0
34.18664,-118.47402,0
34.18692,-118.47405,0
34.19359,-118.4742,0
34.19444,-118.4742,0
34.19628,-118.47421,0
34.19707,-118.47417,0
34.19747,-118.47413,0
34.19802,-118.47402,0
34.20049,-118.47349,0
34.20112,-118.47339,0
34.20147,-118.47334,0
34.20206,-118.4733,0
34.20422,-118.47327,0
34.20824,-118.4732,0
34.21623,-118.47313,0
34.22169,-118.47306,0
34.22831,-118.47302,0
34.23254,-118.47297,0
34.23575,-118.47294,0
34.23741,-118.47291,0
34.23938,-118.47289,0
34.24303,-118.47287,0
34.24509,-118.47286,0
34.2458,-118.4728,0
34.24633,-118.47272,0
34.24715,-118.47254,0
34.24843,-118.47225,0
34.24914,-118.47216,0
34.2501,-118.47214,0
34.25615,-118.47212,0
34.25911,-118.4721,0
34.26221,-118.4721,0
34.26377,-118.47206,0
34.26458,-118.47203,0
34.26587,-118.47204,0
34.26614,-118.47204,0
34.26807,-118.472,0
34.26932,-118.47201,0
34.27119,-118.472,0
34.27184,-118.47194,0
34.27239,-118.47185,0
34.27338,-118.47162,0
34.27434,-118.47131,0
34.27543,-118.4709,0
34.27597,-118.47071,0
34.27862,-118.46979,0
34.28084,-118.46914,0
34.28341,-118.46854,0
34.28636,-118.46787,0
34.28835,-118.46744,0
34.28881,-118.46739,0
34.28927,-118.46738,0
34.28953,-118.46739,0
34.28997,-118.46743,0
34.2905,-118.46755,0
34.29113,-118.46773,0
34.29148,-118.46784,0
34.29184,-118.46803,0
34.29229,-118.4683,0
34.2929,-118.46876,0
34.29336,-118.46918,0
34.29359,-118.46941,0
34.29588,-118.47197,0
