Name;Index;Branch
"Manchester Boulevard, La Cienega Boulevard, Florence Avenue";0;NULL
La Tijera Boulevard;41;NULL
"Howard Hughes Parkway, Sepulveda Boulevard";45;NULL
"Sepulveda Boulevard, Slauson Avenue (SR 90 east)";53;NULL
Jefferson Boulevard;56;NULL
SR 90 west (Marina Freeway)   Marina del Rey;57;NULL
"Culver Boulevard, Washington Boulevard   Culver City";66;NULL
"Venice Boulevard (SR 187), Washington Boulevard";69;NULL
National Boulevard;76;NULL
"I-10 (Santa Monica Freeway)   Santa Monica, Los Angeles";80;"I-405 (San Diego Freeway) Sacramento, LAX Airport, Long Beach"
"Olympic Boulevard, Pico Boulevard";91;NULL
SR 2 (Santa Monica Boulevard);97;NULL
Wilshire Boulevard;110;NULL
Montana Avenue;118;NULL
Sunset Boulevard;123;NULL
Moraga Drive;127;NULL
Getty Center Drive;143;NULL
"Mulholland Drive, Skirball Center Drive";181;NULL
"Ventura Boulevard, Sepulveda Boulevard, Valley Vista Boulevard";212;NULL
"US 101 (Ventura Freeway)   Ventura, Los Angeles";223;"I-405 (San Diego Freeway) Santa Monica, Sacramento"
Burbank Boulevard;237;NULL
Victory Boulevard   Van Nuys;251;NULL
Sherman Way;260;NULL
Roscoe Boulevard   Panorama City;266;NULL
Nordhoff Street;269;NULL
Devonshire Street   Granada Hills;280;NULL
SR 118 (Ronald Reagan Freeway)   Simi Valley;285;NULL
San Fernando Mission Boulevard   San Fernando;290;NULL
Rinaldi Street   Mission Hills;296;NULL
I-5 north (Golden State Freeway)   Sacramento;313;NULL
